id,smiles,label
1812,OC(CN(CC(O)=O)CC(O)=O)CN(CC(O)=O)CC(O)=O,0
413,CN1[C@H]2[C@@H](N(C)C1=O)N(C)C(N2C)=O,1
522,c1(c(N2CCNCC2)cccc1)Sc1c(C)cc(cc1)C,1
2567,c1cc(cnc1)C(O[C@H]1[C@H](OC(c2cccnc2)=O)[C@H]([C@H](OC(=O)c2cccnc2)[C@@H]([C@@H]1OC(c1cnccc1)=O)OC(=O)c1cccnc1)OC(c1cccnc1)=O)=O,0
2553,C1CCC2(CNC(=O)c3cc4c(n32)nc(nc4)Nc2ccc(cn2)N2CCN(C)CC2)CC1,0
2311,C1/[C@@H](C)C[C@@H](C)C(=O)[C@H](OC)[C@@H](/C(C)=C/[C@@H](C)C(=O)C[C@@H]([C@@H](C[C@H]2C[C@@H](OC)[C@@H](CC2)O)C)OC(=O)[C@H]2N(C(=O)C([C@@]3(O[C@@H](CC[C@H]3C)C[C@@H](/C(C)=C/C=C/C=1)OC)O)=O)CCCC2)O,0
1804,[H]/C(=C(/[H])\C(\C)=C(/[H])C(O)=O)/C(/[H])=C(/C)\C(\[H])=C1/CCCC2=CC=CC=C12,0
1511,O.O.O.[OH-].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[Na+].[Na+].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,0
491,N1C(=O)CN=C(c2c1ccc(c2)[N+](=O)[O-])c1ccccc1,1
763,OC1=CC=C(OCC2=CC=CC=C2)C=C1,0
3058,c1ccc2c(c1)[nH]c(S(=O)Cc1c(c(OCC(F)(F)F)ccn1)C)n2,0
2250,C(/C=C(/C=C/C1=C(CCCC1(C)C)C)C)=C\C(C)=C\CO,0
530,C1N=C(c2c(F)cccc2)c2c(n(nc2C)C)N(C)C1=O,1
201,C(O)(C(Cl)(Cl)Cl)O,1
701,CCOC(=O)C1(CCN(C)CC1)C1=CC=CC=C1,0
706,[H][C@@]12OC(=O)[C@@]34OC3C[C@@](O)(C3[C@@H](C1OC3=O)C(C)=C)[C@@]24C.[H][C@@]12C[C@@]3(O)C4[C@@H](C(OC4=O)[C@@]4([H])OC(=O)[C@]1(O2)[C@@]34C)C(C)(C)O,0
1837,NC(=O)C1(CCN(CCC(C#N)(C2=CC=CC=C2)C2=CC=CC=C2)CC1)N1CCCCC1,0
1949,OC(C1=CC2=CC=CC=C2O1)C1=CC=C(Cl)C=C1,0
2857,O=C(CC[C@@H](C(=O)O)N)N,0
2698,[C@H]1([C@@H]([C@@H](n2c(NC(C)C)nc3c2cc(c(Cl)c3)Cl)O[C@H]1CO)O)O,0
2323,N1(CCCCC1)C(/C=C/C=C/c1ccc2c(c1)OCO2)=O,0
614,CCC(NC(C)C)C(O)C1=CC(O)=C(O)C=C1,0
3398,C1C[C@H](NC(N(C)C)=O)CC[C@H]1CCN1CCN(c2cccc(c2Cl)Cl)CC1,0
722,CN\C(NCCSCC1=C(C)NC=N1)=N\C#N,0
1815,CS(=O)(=O)NC1=CC2=C(OC3=C2C(=CC=C3OC(F)F)C(=O)NC2=C(Cl)C=NC=C2Cl)C=C1,0
1726,CC1=C(NC(=O)NC2=CC=C(Cl)C(=C2O)S(=O)(=O)[C@H]2CCCNC2)C=CC=C1F,0
3199,C(OP(O)(=O)O)CCCCCNC(C(CCCCNC(=O)OCCOC)NC(=O)OCCOC)=O,0
1503,CC(=O)O[C@H]1CC2=CC=CC=C2N(C(N)=O)C2=CC=CC=C12,0
1782,CCC(CC)N1C(=O)NC2=NC=C(N=C12)C#C,0
2257,c1c(cc2c(OC(F)(F)O2)c1)C1(C(Nc2ccc(c(n2)-c2cccc(c2)C(O)=O)C)=O)CC1,0
588,CC(C)[C@H](N)C(O)=O,0
1287,NC1=CC=C(C=C1)S(=O)(=O)NC1=NC=CS1,0
3264,N(C(=O)c1ccccc1O)c1ccc(O)cc1,0
2581,c1(nc2c(cc(OC(F)(F)F)cc2)s1)NC(=O)CN(C)C(=O)CNC(CN)=O,0
3056,O1C[C@H]2O[C@@H]3[C@@H](Nc4c(nc([nH]c4N3)N)=O)C(O)(O)[C@H]2OP1(=O)O,0
705,CCC1(CC)C(=O)NC(=O)N(C)C1=O,0
1573,[123I-],0
856,COC1=C(OC)C=C2C(=O)C(CC3CCN(CC4=CC=CC=C4)CC3)CC2=C1,0
2203,[H][C@]12CN([C@H](C(=O)N[C@@H](C[C@]3([H])CCNC3=O)C#N)[C@@]1([H])C2(C)C)C(=O)[C@@H](NC(=O)C(F)(F)F)C(C)(C)C,0
196,C1N=C(c2c(cccc2)F)c2cc([N+](=O)[O-])ccc2N(C)C1=O,1
1270,COC1(C)CC(OC2C(C)C(OC3OC(C)CC(C3O)N(C)C(C)C)C(C)(O)CC(C)C(O)C(C)C(O)C(C)(O)C(OC(=O)C2C)C2=CC=CC=C2)OC(C)C1O,0
2171,NC(=O)NC[C@@H]1CCCC2=CC(=CC=C12)S(=O)(=O)C1=CC(F)=CC=C1,0
2043,[H][C@@]12CC[C@](OC(=O)CCC)(C(=O)COC(=O)CC)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,0
528,c1c(Cl)ccc2c1S(=O)(N(C)c1ccccc1C2NCCCCCCC(O)=O)=O,1
2515,C([C@@H]1[C@H](C[C@H](n2cnc3c(=O)nc(N)[nH]c23)C1=C)O)O,0
2235,C(CCn1c(c2c(n(c1=O)C)nc(Oc1cc(ccc1)Cl)n2Cc1ccc(Cl)cc1)=O)O,1
90,ClCCC(=O)NCC1=CC=CC=C1,1
464,C1(=O)C(CCc2c1c1c(cccc1)n2C)Cn1c(C)ncc1,1
1654,C[C@]1(COC2=CC=C(C=C2)N2CCC(CC2)OC2=CC=C(OC(F)(F)F)C=C2)CN2C=C(N=C2O1)[N+]([O-])=O,0
990,[H][C@@]1(C[C@@](C)(OC)[C@@H](O)[C@H](C)O1)O[C@H]1[C@H](C)[C@@H](O[C@]2([H])O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@](C)(O)[C@@H](CC)OC(=O)[C@@H]1C)OC,0
1358,CC(C)(O)C1=CC=C2OCC3=C(C=CC=N3)\C(=C/CCN3CC[C@](O)(C4=CC=C(Cl)C=C4)C(C)(C)C3)C2=C1,0
2942,O=C([C@@H](O)[C@H](C(=O)N[C@H](C(OC1CCCC1)=O)c1ccccc1)CC(C)C)NO,0
524,c12/C(=C/CCN(C)C)c3ccccc3CSc1cccc2,1
2408,n1c2C(=C(C)c1cc1c(C)c(c(cc3nc(C(C(C)OC(C)c4c(c5[nH]c4cc4C(=C(c(n4)cc4[nH]c(c(c4C)CCC(=O)O)cc4nc(C(=C4CCC(O)=O)C)c5)C(O)C)C)C)=C3C)cc3[nH]c(c(c3C)CCC(=O)O)c2)[nH]1)C(C)O)CCC(O)=O,0
826,CCC1=C2NC3=C(CCOC3(CC)CC(O)=O)C2=CC=C1,0
881,CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1C\C=C/CCCC(O)=O,0
78,NC(=O)C1=C2C[C@H](COC2=C(F)C=C1)N(C1CCC1)C1CCC1,1
575,C[N+](C)(C)CCO,0
793,[H][C@]12C[C@@H](O)C=C[C@]11CCN(C)CC3=C1C(O2)=C(OC)C=C3,0
2131,OC(=O)C1=CC=C(C=C1)[C@H]1C[C@@H]1C1=C(Cl)C=C(OCC2=C(ON=C2C2=C(Cl)C=CC=C2Cl)C2CC2)C=C1,0
3222,c1(cc2c(NC(O[C@@]2(C(F)(F)F)C#CC2CC2)=O)cc1)Cl,0
2727,c1n(/C=C\C(NNc2nccnc2)=O)nc(-c2cc(cc(c2)C(F)(F)F)C(F)(F)F)n1,0
1453,[H][C@@](CN)(CC(O)=O)C1=CC=C(Cl)C=C1,0
3246,FC(F)(c1c(ncc(c1)N1C(C2(N(C1=S)c1ccc(C(=O)NC)c(F)c1)CCC2)=O)C#N)F,0
1622,CCCCC(CC)CCC(CC(C)C)OS(O)(=O)=O,0
508,C1N(C)CCN2[C@H]1c1c(cccc1)Cc1c2nccc1,1
101,CC1CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1,1
31,CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1,1
2738,c1ccccc1C(c1ccccc1)O[C@H]1C[C@@H]2N([C@H](C1)CC2)C,0
3330,C1(OC(C2CC2)=O)CC(C)(N(C(C1)(C)C)O)C,0
2473,n1c(N)oc(n1)CN[C@@H]1C[C@H]1c1ccc(OCc2ccccc2)cc1,0
363,c1ccc2c(cn(c2c1)-c1ccc(F)cc1)CCCCN1CCC2(OCc3ccccc23)CC1,1
2795,c1c(cccc1)[P+](c1ccccc1)(CCCCCCCCCCC1C(=O)C(OC)=C(OC)C(C=1C)=O)c1ccccc1,0
92,CC(CC1C2=CC=CC=C2CCC3=CC=CC=C13)CN(C)C,1
2315,FC(c1ccc2c(c1)[C@@H](N(Cc1cc(cc(c1)C(F)(F)F)C(F)(F)F)C(=O)OC)C[C@H](N2C(OCC)=O)CC)(F)F,0
3046,C(CC(=O)CC[C@@H]1[C@@H](C/C=C\CCCC(O)=O)[C@@H](O)C[C@H]1O)CCCCC,0
1161,OC(=O)C1=CC=CC(=C1)C1=NOC(=N1)C1=CC=CC=C1F,0
1308,COC1=CC2=C(CN(CCC3=CC=C(NC(=O)C4=CC(OC)=C(OC)C=C4NC(=O)C4=CN=C5C=CC=CC5=C4)C=C3)CC2)C=C1OC,0
1524,CCC(=O)N(C1CCN(CC2=CC=CC=C2)CC1)C1=CC=CC=C1,0
1651,COC[C@H]1C[C@H](N(C1)C(=O)[C@H](NC(=O)OC)C1=CC=CC=C1)C1=NC=C(N1)C1=CC=C2C(COC3=CC4=C(C=CC5=C4NC(=N5)[C@@H]4CC[C@H](C)N4C(=O)[C@@H](NC(=O)OC)C(C)C)C=C23)=C1,0
3151,c1cc([Si]([18F])(C(C)(C)C)C(C)(C)C)ccc1C(=O)NC[C@H](C(=O)N[C@@H](C(=O)O)CCCCNC(=O)CCC(=O)NCCC[C@H](C(O)=O)NC(CC[C@@H](C(O)=O)NC(=O)N[C@H](C(O)=O)CCC(O)=O)=O)NC(CC[C@@H](C(O)=O)N1CCN(CCN(CCN(CC(=O)O)CC1)CC(O)=O)CC(=O)O)=O,0
3399,COC(=O)[C@H]1[C@@H](c2ccc(cc2)[123I])C[C@@H]2CC[C@H]1N2CCCF,0
3427,O=C(O)C(=O)Nc1c(Cl)c(cc(c1)C#N)NC(=O)C(O)=O,0
1204,NNC(N)=N,0
2280,C[C@]12CC[C@H](C1(C)C)CC2=O,0
441,[O-][N+]1=C(c2ccccc2)c2c(ccc(Cl)c2)N=C(NC)C1,1
1077,CCN(CCO)CCCC(C)NC1=C2C=CC(Cl)=CC2=NC=C1,0
1740,[O-][N+](=O)C1=NC=CN1CC(=O)NCC1=CC=CC=C1,0
245,C1[C@H](OC)[C@@H](O)[C@@H](O[C@H]1O[C@H]1[C@H](C)O[C@@H](O[C@H]2[C@H](/C=C/C=C3/[C@]4([C@H](C(O[C@H]5C[C@H](O[C@]6(O[C@@H]([C@@H](C)C=C6)C6CCCCC6)C5)C/C=C/2C)=O)C=C(C)[C@H]([C@H]4OC3)O)O)C)C[C@@H]1OC)C,1
1591,CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(O)(=O)=O,0
1932,O.CC(C)(O)[C@H]1CC[C@@](C)(O)CC1,0
1251,CCC1=C(C(=O)C(N)=O)C2=C(OCC(=O)OC)C=CC=C2N1CC1=CC=CC=C1,0
1225,CC1(C)CCC(C)(C)C2=C1C=C(CN1C=CC=N1)C(\C=C\C1=CC=C(C=C1)C(O)=O)=C2,0
